Station	Date (d/m/y)	Coordinates	Sample Depth (m)	T (℃)	Salinity (psu)	NO3- (μg/L)	NO2- (μg/L)	NH4+ (μg/L)	PO4- (μg/L)	Si4+ (μg/L)
TY.044	01/10/2018	11°04.4539'N 142°15.7443'E	7344	1.8015	34.704	——	——	——	——	——
TY.041	24/09/2018	11°08.6392'N 142°14.5084'E	8563	2.0208	34.679	——	——	——	——	——
TY.040	23/09/2018	11°12.2651'N 142°13.5296'E	9235	——	——	——	——	——	——	——
YW.021	26/09/2018	11°19.5014'N 142°10.7430'E	10894	2.4664	34.6984	8.44	4.07	33.77	12.73	952.30
WQ.022	19/09/2018	11°20.0027'N 142°11.9257'E	10875	2.4624	34.697	8.64	3.18	69.53	7.18	1149.39
YW.020	25/09/2018	11°20.0769'N 142°12.9041'E	10898	2.4676	34.6965	8.26	3.49	37.68	8.27	910.25
WQ.024	23/09/2018	11°20.1570'N 142°12.6867'E	10877	2.4607	34.689	8.65	3.19	64.80	7.43	1195.69
YW.019	22/09/2018	11°20.1311'N 142°12.4085'E	10884	2.4665	34.6991	8.40	3.19	54.88	7.66	1170.42
WQ.021	18/09/2019	11°20.2118'N 142°13.0340'E	10901	2.4669	34.6954	7.39	3.30	70.00	6.23	955.06
YW.023	04/10/2018	11°22.3431'N 142°35.7281'E	10905	2.4698	34.7016	8.71	3.33	74.75	12.20	1071.52
